                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99501,                 0.7314,                0.98652,                 1.4662,              0.0033267,              0.0033267,              0.0033267
                      2,                 0.7183,                0.74888,                0.98752,                 1.4471,              0.0065941,              0.0065941,              0.0065941
                      3,                0.73477,                0.72841,                0.98702,                  1.522,              0.0097955,              0.0097955,              0.0097955
                      4,                0.77565,                 0.7359,                0.99201,                 1.4861,               0.009703,               0.009703,               0.009703
                      5,                0.76352,                0.73989,                0.99051,                 1.4645,               0.009703,               0.009703,               0.009703
                      6,                0.62628,                0.75637,                0.98902,                  1.445,               0.009604,               0.009604,               0.009604
                      7,                0.53151,                0.75587,                0.98602,                  1.445,               0.009505,               0.009505,               0.009505
                      8,                0.44758,                0.77634,                0.99351,                 1.4351,               0.009406,               0.009406,               0.009406
                      9,                0.38613,                0.75437,                0.99101,                 1.4216,               0.009307,               0.009307,               0.009307
                     10,                0.31912,                0.74538,                0.98552,                 1.4248,               0.009208,               0.009208,               0.009208
                     11,                0.24564,                0.76136,                0.98702,                 1.4118,               0.009109,               0.009109,               0.009109
                     12,                0.20075,                0.75187,                0.99151,                 1.4207,                0.00901,                0.00901,                0.00901
                     13,                0.18805,                0.75736,                0.98602,                 1.4119,               0.008911,               0.008911,               0.008911
                     14,                0.16157,                0.75986,                0.98552,                 1.4101,               0.008812,               0.008812,               0.008812
                     15,                 0.1415,                0.76286,                0.98552,                 1.4081,               0.008713,               0.008713,               0.008713
                     16,                0.11858,                0.76086,                0.98952,                 1.4062,               0.008614,               0.008614,               0.008614
                     17,                0.10119,                0.75337,                0.98552,                 1.4123,               0.008515,               0.008515,               0.008515
                     18,                0.08675,                0.76036,                0.98802,                  1.407,               0.008416,               0.008416,               0.008416
                     19,                0.08212,                0.76236,                0.98752,                 1.4056,               0.008317,               0.008317,               0.008317
                     20,                0.06767,                0.75786,                0.98752,                 1.4055,               0.008218,               0.008218,               0.008218
                     21,                0.06721,                0.75487,                0.98752,                 1.4085,               0.008119,               0.008119,               0.008119
                     22,                0.06953,                0.76335,                0.98652,                 1.4041,                0.00802,                0.00802,                0.00802
                     23,                0.05973,                0.75287,                0.98652,                 1.4079,               0.007921,               0.007921,               0.007921
                     24,                0.05047,                0.76785,                0.98902,                 1.3969,               0.007822,               0.007822,               0.007822
                     25,                0.03992,                0.75936,                0.98502,                 1.4049,               0.007723,               0.007723,               0.007723
                     26,                0.03747,                0.75637,                0.98303,                 1.4075,               0.007624,               0.007624,               0.007624
                     27,                0.03543,                0.75237,                0.98702,                 1.4087,               0.007525,               0.007525,               0.007525
                     28,                0.03724,                0.75986,                0.98802,                  1.406,               0.007426,               0.007426,               0.007426
                     29,                0.03429,                0.75187,                0.98652,                 1.4122,               0.007327,               0.007327,               0.007327
                     30,                0.03725,                0.75287,                0.98303,                 1.4093,               0.007228,               0.007228,               0.007228
                     31,                0.02879,                0.76086,                0.98552,                 1.4033,               0.007129,               0.007129,               0.007129
                     32,                 0.0258,                0.75587,                0.98702,                 1.4094,                0.00703,                0.00703,                0.00703
                     33,                0.02663,                0.74438,                0.98502,                 1.4177,               0.006931,               0.006931,               0.006931
                     34,                 0.0223,                0.74588,                0.98103,                  1.417,               0.006832,               0.006832,               0.006832
                     35,                 0.0231,                0.74638,                0.97953,                 1.4189,               0.006733,               0.006733,               0.006733
                     36,                0.01983,                0.75187,                0.98253,                 1.4116,               0.006634,               0.006634,               0.006634
                     37,                0.01162,                0.75137,                0.98402,                 1.4113,               0.006535,               0.006535,               0.006535
                     38,                0.01145,                0.74638,                0.98253,                 1.4123,               0.006436,               0.006436,               0.006436
                     39,                0.01387,                0.74788,                0.98702,                 1.4132,               0.006337,               0.006337,               0.006337
