                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                0.00745,                0.75387,                0.98502,                 1.4068,               0.006238,               0.006238,               0.006238
                     41,                0.01564,                0.74638,                0.98502,                 1.4155,               0.006139,               0.006139,               0.006139
                     42,                0.01409,                0.76335,                0.98752,                 1.4018,                0.00604,                0.00604,                0.00604
                     43,                0.00847,                0.76335,                0.98602,                 1.4038,               0.005941,               0.005941,               0.005941
                     44,                0.00862,                0.75736,                0.98303,                  1.404,               0.005842,               0.005842,               0.005842
                     45,                0.00937,                0.76086,                0.98352,                  1.402,               0.005743,               0.005743,               0.005743
                     46,                0.00735,                0.76236,                0.98153,                  1.399,               0.005644,               0.005644,               0.005644
                     47,                0.01302,                0.75087,                0.98702,                 1.4142,               0.005545,               0.005545,               0.005545
                     48,                0.00834,                0.75287,                0.98303,                 1.4074,               0.005446,               0.005446,               0.005446
                     49,                0.00484,                0.75337,                0.98402,                 1.4083,               0.005347,               0.005347,               0.005347
                     50,                0.00803,                0.75487,                0.98352,                 1.4081,               0.005248,               0.005248,               0.005248
                     51,                0.00775,                0.75886,                0.98602,                 1.4054,               0.005149,               0.005149,               0.005149
                     52,                0.00425,                0.75836,                0.98502,                 1.4049,                0.00505,                0.00505,                0.00505
                     53,                0.00245,                0.75637,                0.98852,                 1.4054,               0.004951,               0.004951,               0.004951
                     54,                0.00253,                0.75986,                0.98552,                 1.4046,               0.004852,               0.004852,               0.004852
                     55,                0.00353,                0.76335,                0.98203,                 1.4007,               0.004753,               0.004753,               0.004753
                     56,                0.00273,                0.76885,                0.98303,                 1.3969,               0.004654,               0.004654,               0.004654
                     57,                0.00202,                0.76635,                0.98253,                 1.3985,               0.004555,               0.004555,               0.004555
                     58,                0.00293,                0.76785,                0.98303,                 1.3952,               0.004456,               0.004456,               0.004456
